iso,country,epi,air,water,altepi,score,property,integrity,judicial,tax,spending,fiscal,business,labor,monetary,trade,investment,financial,gdppercapita,pppgdppercapita
TTO,Trinidad and Tobago,52.1,87.2,60.2,73.7,60.4,58.1,44.8,59.8,79.9,69.6,21.1,76,60.4,76.7,68.6,60,50,18332.9640176054,31572.1010218751
TUN,Tunisia,45.7,44.3,62.4,53.35,48.8,60.8,42.4,40.5,74.9,64.7,7.3,52.9,55.9,72.7,53.2,30,30,3895.38663874079,13681.6110894965
TUR,Turkiye,37.6,34.8,63.7,49.25,56.2,40.6,35,24.4,72.5,71,77.5,59.2,54.6,38.5,70.8,70,60,12985.7531497962,44151.0248931869
TKM,Turkmenistan,40.7,54.1,58.5,56.3,46.3,18.1,7.8,10,94.3,96.7,99.9,37.3,30.3,67.4,74.2,10,10,9190.67154341786,NA
UGA,Uganda,35.4,14,23.6,18.8,50.7,47.3,23.9,29.2,73.5,86.8,18.3,49,54.9,75.1,55.8,55,40,1014.21397773156,3098.11101633488
UKR,Ukraine,54.6,40,76,58,N/A,23,32.5,30.4,N/A,N/A,N/A,N/A,N/A,N/A,73.2,N/A,N/A,5181.36279296875,18007.486328125
ARE,United Arab Emirates,52,46.2,71.9,59.05,71.1,64.8,64.9,35.2,100,78.4,98.1,80.2,65.3,78.3,78,50,60,52976.8083782405,83902.6711259525
GBR,United Kingdom,72.7,69.9,98.2,84.05,68.6,94.6,84.1,84.3,62.3,34.3,0,82.7,63.2,73.6,83.6,80,80,48866.6039600298,58906.2388575418
USA,United States of America,57.3,65.8,96.4,81.1,70.1,95.1,74.8,76.4,74.8,48.7,0,84.8,77.7,73.8,75.6,80,80,81695.1870713305,81695.1870713302
URY,Uruguay,43.9,52.3,72.5,62.4,69.8,84.8,78.1,81.1,73.8,71.6,75.9,83.9,61,66.2,71.2,60,30,22564.5324620687,34061.5129496746
UZB,Uzbekistan,42.9,27.5,71.5,49.5,55.9,32.9,29.1,15.3,92.8,70.4,72.1,61,48.2,63.6,75.6,60,50,2496.10775758036,9724.73400808025
VUT,Vanuatu,44.6,57.5,32.4,44.95,62.2,63.3,47.9,71,98.8,45,90.4,55.1,40.1,69.9,59.6,65,40,3367.09463871866,3315.07344712078
VEN,Venezuela,53.1,54.2,48.5,51.35,28.1,0,6.4,3.3,75.9,96.6,36.5,31,35.7,0,42.2,0,10,NA,NA
VNM,Viet Nam,24.5,15.5,53.7,34.6,62.8,49.6,38.7,35.4,80.4,87.9,94.6,73.9,54.6,69.3,79.8,40,50,4346.76849237821,15194.3427834845
ZMB,Zambia,46.1,16.7,21.4,19.05,48.4,36.2,30,44.1,74.1,71.7,0.6,49,40.4,66.2,63.4,55,50,1369.12936484937,4125.62555555083
ZWE,Zimbabwe,51.7,22.8,19.5,21.15,38.2,20.2,19.8,16,74.6,92.1,78.5,39,32.8,0,50.4,25,10,1592.41657368542,3899.89923349249
NA,North Korea,NA,NA,NA,NA,2.9,16,3.6,5.4,0,0,0,5,5,0,0,0,0,NA,NA
NA,Libya,NA,NA,NA,NA,N/A,5.9,10.2,4.2,93.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA
NA,Liechtenstein,NA,NA,NA,NA,N/A,92.8,82.4,86,N/A,N/A,N/A,88.2,N/A,N/A,86.4,80,80,NA,NA
NA,Yemen,NA,NA,NA,NA,N/A,5.7,6.9,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA
